     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  6 23   3.9 1011 204  3.9 8  4.6  91    0    0 315 -317  2
3943500 3036500  1  6 24   3.8 1011 200  3.3 8  4.6  91    0    0 314 -316  2
3943500 3036500  1  7  1   3.7 1011 196  3.3 6  4.5  91    0    0 303 -316  2
3943500 3036500  1  7  2   2.8 1011 171  3.2 7  4.5  93    0    0 295 -316  2
3943500 3036500  1  7  3   2.2 1011 163  3.0 6  4.2  93    0    0 293 -315  2
3943500 3036500  1  7  4   1.4 1009 151  3.0 5  4.1  95    0    0 279 -313  2
3943500 3036500  1  7  5   1.4 1008 142  3.2 5  4.0  96    0    0 271 -312  2
3943500 3036500  1  7  6   1.3 1007 141  3.4 6  4.0  95    0    0 275 -313  2
3943500 3036500  1  7  7   1.5 1005 144  3.8 7  3.9  93    0    0 286 -315  2
3943500 3036500  1  7  8   1.6 1004 139  4.2 7  3.9  91    0    0 293 -315  2
3943500 3036500  1  7  9   1.5 1003 142  4.3 7  3.9  92    0    2 293 -316  2
3943500 3036500  1  7 10   1.7 1002 149  4.0 8  4.1  95    0    6 299 -316  2
3943500 3036500  1  7 11   2.6 1001 163  4.2 8  4.3  96    0   11 305 -316  2
3943500 3036500  1  7 12   4.2 1001 188  5.1 8  4.7  95    0   33 305 -316  2
3943500 3036500  1  7 13   5.8 1000 213  6.0 6  5.1  94    1   77 299 -319  2
3943500 3036500  1  7 14   6.2 1000 211  5.2 1  5.3  90   61  105 271 -325  2
3943500 3036500  1  7 15   5.9 1000 217  5.3 6  5.2  88    5   56 272 -332  2
3943500 3036500  1  7 16   5.4 1000 211  7.6 7  5.1  89    0    5 300 -335  2
3943500 3036500  1  7 17   5.1 1000 230  9.1 8  5.0  90    0    0 309 -334  2
3943500 3036500  1  7 18   5.3 1000 237 10.3 8  4.9  88    0    0 313 -334  2
3943500 3036500  1  7 19   5.3 1001 230  9.9 8  4.8  86    0    0 313 -333  2
3943500 3036500  1  7 20   5.3 1001 230 10.3 8  4.7  84    0    0 314 -333  2
3943500 3036500  1  7 21   5.3 1001 229 10.5 7  4.7  84    0    0 311 -333  2
3943500 3036500  1  7 22   5.4 1002 236 10.3 8  4.7  84    0    0 312 -333  2
3943500 3036500  1  7 23   5.3 1002 248  8.7 7  4.7  84    0    0 314 -334  2
3943500 3036500  1  7 24   5.3 1003 245 10.1 8  4.7  85    0    0 313 -335  2
3943500 3036500  1  8  1   5.1 1004 248  9.0 6  4.8  87    0    0 308 -336  2
