     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  7 24   3.7 1003 197  2.1 7  4.7  94    0    0 302 -333  1
3943500 3036500  1  8  1   3.6 1002 180  2.1 7  4.7  94    0    0 298 -333  1
3943500 3036500  1  8  2   3.9 1001 172  1.8 7  4.7  94    0    0 300 -334  1
3943500 3036500  1  8  3   4.2 1000 171  2.2 8  4.8  93    0    0 311 -334  1
3943500 3036500  1  8  4   4.2  999 146  1.6 7  4.9  94    0    0 314 -333  1
3943500 3036500  1  8  5   4.3  998 129  2.1 8  5.0  95    0    0 316 -333  1
3943500 3036500  1  8  6   4.3  997 122  2.7 7  5.0  95    0    0 317 -333  1
3943500 3036500  1  8  7   4.4  997 123  2.8 8  5.0  94    0    0 317 -334  1
3943500 3036500  1  8  8   3.9  996 144  3.3 8  4.9  94    0    0 322 -335  1
3943500 3036500  1  8  9   3.6  995 138  2.7 8  4.7  93    0    0 321 -335  1
3943500 3036500  1  8 10   3.1  995 122  3.4 7  4.5  92    0   22 312 -335  1
3943500 3036500  1  8 11   3.2  995 104  2.8 8  4.4  92    0   26 311 -336  1
3943500 3036500  1  8 12   3.0  995 100  3.4 8  4.5  92    0   18 315 -336  1
3943500 3036500  1  8 13   3.0  994 103  4.3 8  4.5  94    0   19 311 -337  1
3943500 3036500  1  8 14   3.1  994 117  3.4 8  4.5  94    0   17 309 -338  1
3943500 3036500  1  8 15   3.1  994  99  2.5 8  4.6  94    0   28 306 -336  1
3943500 3036500  1  8 16   3.6  994 154  3.5 8  4.7  94    0   18 305 -335  1
3943500 3036500  1  8 17   3.0  994 110  3.0 8  4.7  95    0    0 302 -332  1
3943500 3036500  1  8 18   2.8  994  86  4.9 8  4.6  96    0    0 298 -329  1
3943500 3036500  1  8 19   1.9  995  45  4.6 8  4.4  96    0    0 295 -328  1
3943500 3036500  1  8 20   1.8  995  16  5.7 8  4.2  96    0    0 296 -328  1
3943500 3036500  1  8 21   1.8  995  33  5.0 8  4.2  95    0    0 296 -328  1
3943500 3036500  1  8 22   1.6  996  47  7.1 8  4.1  95    0    0 297 -327  1
3943500 3036500  1  8 23   1.8  997  28  4.0 8  4.1  94    0    0 298 -323  1
